nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania
Contador Agora,Somos especializados na criação de processos comerciais e de marketing digital para escritórios de contabilidade!,Startup,Gestão de negócios,,,Executores Diretos das Missões,,,,,,
Kexime Fintech LTDA,"A KéxiOn está localizada no município de Varginha, no sul de Minas Gerais, é um startup financeira (Fintech) que tem por objetivo impactar positivamente a vida das pessoas por meio do desenvolvimento de produtos que ampliem a acessibilidade do crédito para populações desbancarizadas. ",Startup,Finanças,Machine Learning,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
4Intelligence,"A 4intelligence desenvolve plataformas de inteligência competitiva B2B para suporte na tomada de decisões estratégicas e táticas. A startup usa tecnologia para tornar simples o uso de modelos estatísticos e econométricos, além de complexos algoritmos matemáticos, além de oferecer uma rica base de dados econômicos.",Empresa de Base Tecnológica (EBT),Tecnologia da informação,,,Executores Diretos das Missões,,,,,,
GeoTI,"Desde 2009, a GEOTI alia ética e inovação para transformar desafios em soluções 
tecnológicas. Com compromisso e princípios sólidos, oferecemos tecnologias que 
otimizam operações e garantem resultados de ponta aos nossos parceiros.",Empresa de Base Tecnológica (EBT),"Gestão de negócios, Tecnologia da informação",Big Data,"Tração (Início da consolidação e repetição de processos para áreas da EBT, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
Bigcash,"BigCash disponibiliza acesso a crédito de forma
facilitada, online, e predominantemente para
pessoas que precisam de pequenas quantias e
que normalmente não teriam acesso a crédito
em instituições convencionais.",Startup,Finanças,,2. Operação,Executores Diretos das Missões,,,,,,
Reev,"A plataforma líder em Sales Engagement e Outbound Marketing. Ajudamos times comerciais acelerarem o seu crescimento de forma automatizada, personalizada e humana.",Startup,"Gestão de negócios, Vendas",Machine Learning,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
Center Educacional Ltda,"A Nubbi é uma edtech que tem como missão eliminar as barreiras do aprendizado através da simplificação e democratização da educação através do Ensino Sem Distância - ESD, um conceito novo de aprendizagem. Com o ESD, a Nubbi tem como objetivos quebrar os paradigmas do ensino online, afirmar que o aprendizado virtual humanizado é possível, que a tecnologia é a maior aliada para diminuir barreiras e a educação pode ser acessível e fácil para qualquer pessoa , através da aproximação virtual dos alunos e o conteúdo oferecido.",Startup,Educação,Nenhuma,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
UPDATE DATA LTDA,"Somos uma empresa de transformação digital.
Nosso objetivo é transformar o ambiente econômico social através da captação e análise de dados e geração de insights para auxiliar na resolução de questões relacionadas à indústria da inovação e infraestrutura, bem como na geração de cidades inteligentes e consumo e produção sustentáveis.
Nossos serviços:
Transformação digital
- Transformação nível 1 - GED: Gerenciamento eletrônico de documentos
- Transformação nível 2 - Sistema de busca inteligente
- Transformação nível 3 - Migração de data center
- Transformação nível 4 - Gestão de banco de dados com aplicativo
Também desenvolvemos:
Relatórios DOD (RDOD - Relatório para decisão orientada aos dados)
Relatórios DODA (RDODA - Relatório para decisão orientada aos dados atuais)
Previsão de demanda
Criação de algoritmos exclusivos.
Nossos resultados:
Temos duas aplicações em desenvolvimento. - Uma dessa aplicação relacionado a gestão de frotas que está em testes com utilização do (MPV) e em preparação para lançamento da segunda versão.
- Uma aplicação em desenvolvimento do MPV.
Também realizamos a terceirização de código para empresas já estabelecida no mercado.",Startup,"Agronegócio, Automóveis, Cidades inteligentes, Educação, Gestão de negócios, Indústria 4.0, Logística, Sustentabilidade, Tecnologia da informação, Varejo","Big Data, IOT (Internet das Coisas), Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Bawsaw,"Somos um marketplace focado em produtos e serviços artísticos e artesanais. Assim, a Bawsaw facilita o processo de busca e aquisição/contratação de produtos/serviços artísticos:
Os Consumidores podem procurar produtos ou serviços específicos; procurar artistas; solicitar orçamento personalizado; conversar diretamente com o artista;
comprar produtos e/ou contratar serviços.
Os Artistas/artesãos podem expor seus produtos e serviços online; receber alerta de orçamento; vender online; enfim, informatizar sua gestão comercial.
Estamos em fase de testes do MVP, preparando-o para lançamento no mercado.",Startup,Varejo,Nenhuma,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Litroz,"A Litroz é a primeira e única plataforma de gestão de abastecimento e benefícios em combustível 100% digital e gratuita do Brasil. Através da tecnologia conseguimos reduzimos custos e processos para as empresas, operando em uma plataforma com prazos de repasses e taxas de operação reduzidas para os postos. Coma Litroz a gestão de abastecimento da sua empresa está a um clique!
Nesses dois anos de operação, foram mais de 35 mil abastecimentos, mais de R$5.000.000,00 transacionados e 100% dos clientes satisfeitos.",Startup,Finanças,"Big Data, Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
INUP SOLUÇÕES CONTÁBEIS,"Somos uma startup B2B que desenvolve soluções contábeis e financeiras através do uso de inovação, tecnologia e relacionamento. Atualmente possuímos mais de 450 clientes ativos, presentes em aproximadamente 100 cidades e 20 estados do Brasil, com uma equipe de 20 colaboradores diretos.",Startup,"Finanças, Gestão de negócios",Big Data,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
HRT Medicina Avançada //Récipe Digital,"Digitalizar prescrição de medicamentos, solicitação de exames e atestados dos profissionais de saúde.",Startup,Saúde,Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Cucco,"Marketplace de serviços onde pessoas agendam horários pela internet e Prestadores de diversos Serviços potencializam seus negócios! Solução de Marketing, gestão e relacionamento para diversos serviços. Como estúdios de música, quadras de esportes, salão de beleza, professores, academia, clinicas de estética, entre outros.",Startup,Publicidade,,,Executores Diretos das Missões,,,,,,
Nanoview Nanotecnologia,"Empresa brasileira especializada na comercialização de nanomateriais avançados, fundada em 2021 como Spin off do Centro de Tecnologia em Nanomaterias e Grafeno da Universidade Federal de Minas Gerais (CTNano/UFMG). A Nanoview também tem como foco o desenvolvimento de produtos e inovação, apoiando-se internamente na vasta experiência adquirida por sua equipe na execução de projetos de P&D e externamente na sua ampla rede de colaborações acadêmicas e industriais. Apoiamos nossos clientes com Expertise desde a prototipagem até o aumento de escala e a comercialização.",Startup,"Agronegócio, Cidades inteligentes, Construção, Indústria 4.0, Mineração","Big Data, Impressão 3D, IOT (Internet das Coisas), Machine Learning, Nanotecnologia",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Santo Cartão,Venda de ingressos online,Startup,"Publicidade, Entretenimento, Gestão de negócios, Varejo, Tecnologia da informação",Nenhuma,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
300 Inteligência ,"A 300 Inteligência de Negócio é especializada em resolver uma ampla gama de problemas relacionados à gestão e análise de dados para empresas e organizações. Com expertise em Business Intelligence (BI) e integração de dados, a empresa transforma informações brutas em insights acionáveis através de painéis de controle, relatórios e análises personalizadas. Utilizando técnicas de inteligência artificial e aprendizado de máquina, a 300 realiza análise preditiva para prever tendências futuras e padrões de comportamento do cliente, permitindo que as empresas se antecipem a mudanças e se adaptem proativamente. Além disso, a empresa desenvolve soluções de automação de processos para melhorar a eficiência operacional e reduzir erros. Com dashboards e relatórios personalizados, a 300 proporciona informações relevantes e de fácil compreensão para diferentes níveis de gestão, impulsionando a produtividade e visibilidade dos dados.",Startup,"Agronegócio, Gestão de negócios, Indústria 4.0, Sustentabilidade","Big Data, Blockchain, Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
